dataset,method,policy,f1_mean,f1_std,precision_mean,recall_mean,auc_mean,aucpr_mean,event_recall_mean,fpr_mean,false_alarm_events_per_10k_mean
BATADAL,Mahalanobis Distance,val_f1,0.5527638190954773,0.0,0.497737556561086,0.6214689265536724,0.7681432497988653,0.37279563970336393,0.5,0.058761249338274216,26.469031233456857
BATADAL,Mahalanobis Distance,train_q99,0.15782434239857335,0.0,0.0856727976766699,1.0,0.7681432497988653,0.37279563970336393,1.0,1.0,26.469031233456857
BATADAL,Mahalanobis Distance,train_q995,0.15782434239857335,0.0,0.0856727976766699,1.0,0.7681432497988653,0.37279563970336393,1.0,1.0,26.469031233456857
BATADAL,PCA Reconstruction,val_f1,0.5565610859728507,0.0,0.4641509433962264,0.6949152542372882,0.938472213498907,0.6415033877371263,1.0,0.07517204870301747,37.056643726839596
BATADAL,PCA Reconstruction,train_q99,0.5090180360721442,0.0,0.3944099378881988,0.7175141242937854,0.938472213498907,0.6415033877371263,1.0,0.10322922181048173,52.93806246691371
BATADAL,PCA Reconstruction,train_q995,0.5291666666666667,0.0,0.41914191419141916,0.7175141242937854,0.938472213498907,0.6415033877371263,1.0,0.09317098994176813,63.525674960296456
BATADAL,One-Class SVM,val_f1,0.57172577076369,0.005059112341840495,0.5254752645260249,0.6271186440677966,0.9047683137283052,0.6401648270604388,0.75,0.053114522675136756,47.64425622022234
BATADAL,One-Class SVM,train_q99,0.5331553615269337,0.002841659318790363,0.42617619910493904,0.711864406779661,0.9047683137283052,0.6401648270604388,0.75,0.08981824598553027,88.23010411152285
BATADAL,One-Class SVM,train_q995,0.5502982628646346,0.0014078944617406984,0.45311133311133306,0.7005649717514123,0.9047683137283052,0.6401648270604388,0.75,0.07923063349214753,67.05487912475736
BATADAL,Isolation Forest,val_f1,0.47299234804825624,0.005463174816760766,0.5693628552473892,0.4048964218455744,0.8201651149134795,0.4992967992767186,0.5833333333333334,0.02876301394035645,107.64072701605788
BATADAL,Isolation Forest,train_q99,0.4629917209227554,0.02101596592442984,0.5159560969420124,0.4199623352165725,0.8201651149134795,0.4992967992767186,0.5833333333333334,0.036880183518616556,149.99117698958887
BATADAL,Isolation Forest,train_q995,0.4756758948155286,0.00930746677131043,0.5972472870045138,0.39548022598870053,0.8201651149134795,0.4992967992767186,0.5,0.02505734956767249,97.05311452267513
BATADAL,Dense-Autoencoder,val_f1,0.5604618187224408,0.04159282229607944,0.5945848785770477,0.5480225988700566,0.9591858504833713,0.6868764045216006,0.6666666666666666,0.036880183518616556,33.52743956237868
BATADAL,Dense-Autoencoder,train_q99,0.6309883705250907,0.007089984153759145,0.4745390929608833,0.9416195856873824,0.9591858504833713,0.6868764045216006,1.0,0.09775895535556732,107.6407270160579
BATADAL,Dense-Autoencoder,train_q995,0.6511627517781363,0.0038698610406661888,0.5036825406940485,0.9209039548022598,0.9591858504833713,0.6868764045216006,1.0,0.08505382036350802,93.52391035821422
